created_at,text,sentiment
2017-12-06T01:49:01Z,$AAPL has an excellent technical rating and also presents a decent setup pattern. Prices have been consolidatin ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=SETUP#/AAPL?key=bb853040-a4ac-41c6-b549-d218d2f21b32,Neutral
2017-12-06T01:44:05Z,$QQQ FIVE MINUTE TRADES ARE WORKING -  $BABA $FB $NFLX $AAPL $AMZN $UVXY $SPX $SPY   It&#39;s crazy how good they work  http://www.tradewithjoe.com/trading-the-opening-five-minute-candle/,Neutral
2017-12-06T01:35:43Z,$PSTG $MBI $MU $AMD $AAPL $BAC $EQT $PIR $CSCO $WFC $RGC $QCOM $VRX $GILD $SNAP $MGM-12/5 Highest volume strikes,Neutral
2017-12-06T01:29:20Z,🔴McOscilator  🔻&lt;50d $fb $goog $nvda $flex $sne $soxx $nflx  MACD bear❌ $amzn $msft $amat $aapl  🔻&lt;200d $hrb,Bearish
2017-12-06T01:25:50Z,$AAPL ...,Bullish
2017-12-06T01:23:50Z,$BAC $AAPL $MU $FB $BABA $AMD $NVDA $WFC $GE $SNAP $VRX $MSFT $AMZN $JPM $QCOM $TSLA $INTC-12/5 Most active options,Neutral
2017-12-06T01:19:28Z,$AAPL 2 Things Apple Does Wrong https://themarketisopen.com/posts/2-things-apple-does-wrong,Neutral
2017-12-06T01:17:46Z,"$AAPL $FB $NFLX Cramer&#39;s charts suggest Netflix, Apple and Facebook&#39;s stocks won&#39;t go much lower https://themarketisopen.com/posts/cramer-s-charts-suggest-netflix-apple-and-facebook-s-stocks-won-t-go-much-lower",Neutral
2017-12-06T01:01:40Z,$NVDA $HDS $RVNC $SBUX $SPY $AAPL $fb $SNAP HOW WAS YOUR DAY?🙌🏽😊,Neutral
2017-12-06T00:40:20Z,$QQQ $SPY $IWM $AMZN $PYPL $BABA $AAPL $NVDA $OLED $SINA $TTWO $SWKS $AVGO $PCLN $FB $NFLX - sold a gang of 45DTE credit spreads,Bullish
2017-12-06T00:35:57Z,"$AAPL Daily chart seems to be missing 1 more leg, which supports American Indices $NQ_F $ES_F $YM_F #elliottwave",Neutral
2017-12-06T00:29:28Z,$AAPL is stair stepping lower. might see 166 tomorrow and lower later in the week.,Bearish
2017-12-06T00:25:48Z,@astruzynski $BABA $FB $AAPL again see those poss three day candle patterns   See what tomorrow brings.,Neutral
2017-12-06T00:19:06Z,"$AAPL According to data from Mixpanel, The iPhone X has made up 38.3% of new model (8/8+/X) sales",Bullish
2017-12-06T00:17:12Z,The State of the 30 Largest Companies on the Stock Market - https://buff.ly/2kn9gC5  | $INTC $AMZN $AAPL $BAC $XOM $GOOG $MSFT $T,Neutral
2017-12-06T00:13:30Z,$AAPL orderly Bull Flag on Weekly so far. Positive digestion of prior rally,Neutral
2017-12-05T23:53:47Z,"$FB $AAPL $NFLX $GOOGL  Cramer on millennials: Brand loyalty is dying, but FANG isn&#39;t https://www.cnbc.com/2017/12/05/cramer-on-millennials-brandhttps://www.cnbc.com/2017/12/05/cramer-on-millennials-brand-loyalty-is-dying-but-fang-isnt.html-loyalty-is-dying-but-fang-isnt.html $QQQ $SOXX",Neutral
2017-12-05T23:46:38Z,Free video with setups for Dec 6 &quot;Let This Play Out&quot; $AAPL $FSLR $AMZN   $TSLA https://www.learnstocks101.com/stock-market-analysis/2017/12/let-play-out,Neutral
2017-12-05T23:38:37Z,Purchases an $AAPL product. Starts receiving &quot;iCloud data breach&quot; phishing calls 2 days later. You clearly have a leak in your system.,Neutral
2017-12-05T23:29:05Z,$AAPL has a Return On Equity of 36.07%. This is better than the industry average of 11.97%. https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=PROFITABILITY#/AAPL?r=fa&amp;key=bb853040-a4ac-41c6-b549-d218d2f21b32,Neutral
2017-12-05T23:21:21Z,$AAPL it’ll settle in soon when people realize they’re suppose to sell &amp; rotate only high P/E tech stocks and not aapl,Neutral
2017-12-05T23:18:29Z,$AAPL Google removes YouTube from Amazon’s Echo Show. Again.,Bullish
2017-12-05T23:17:24Z,2 Things $AAPL Does Wrong - https://buff.ly/2iqoPou,Neutral
2017-12-05T23:09:20Z,$AAPL  CRAMER YOU CAN PUMP TILL THE COWS COME HOME..but MY SAMSUNG 8 IS all i will (EVER) need&lt;&lt;Stock added 400 bil on basically same units,Neutral
2017-12-05T23:08:21Z,$AAPL $SPY sold a few shares of Apple and bought the 8 plus. Might as well as reinvest it haha,Bullish
2017-12-05T23:00:59Z,$AAPL Its rocketing afterhours!!!!!,Bullish
2017-12-05T22:57:12Z,Here’s what 238 Estimize analysts believe $AAPL will report for Q1 2018 EPS [Reporting 01/30 AMC] http://www.estimize.com/intro/aapl?utm_content=AAPL&amp;amp;utm_medium=eps_update&amp;amp;utm_source=stocktwits#chart=historical,Neutral
2017-12-05T22:44:06Z,$AAPL ONLY tech stock that still remains #UNDERVALUED #AAPL $175 December,Bullish
2017-12-05T22:41:49Z,"Dang $BRK.B, welcome to the almost 200 club! Just you and $AAPL I think lol",Bullish
2017-12-05T22:37:39Z,$AAPL guess I’ll go stare at my Xmas tree. At least it will stay green all day.....,Bearish
2017-12-05T22:35:04Z,$DJIA $SPX $QQQ $BABA $MSFT $AMZN $AAPL $GOOG $FB $NFLX $BTC.X $USDCAD $EURUSD $USDJPY $GBPUSD $COMPQ: Trade Humor!,Neutral
2017-12-05T22:35:03Z,Follow us for free credit spread trades! $SPX $SPY $RUT $IWM $DIA $QQQ $VIX $UVXY $SVXY $AAPL $FB $NFLX $SLV $GLD,Neutral
2017-12-05T22:33:59Z,$BAC $UVXY SPY $C $AMZN $GOOGL $FB $NVDA $AAPL $MSFT $WMT $tsla $BABA $WFC  glad i only lost 900 what a joke of a market Trump&#39;s an idiot,Bearish
2017-12-05T22:33:12Z,$AAPL I&#39;m noticing a lot more negative coverage for AAPL by the media... clear manipulation.  CNBC gal said iphone was like Blackberry! lol,Neutral
2017-12-05T22:31:42Z,$AAPL ApplePay in messages is AMAZING!!!!,Bullish
2017-12-05T22:17:21Z,$AAPL http://www.thestreetpoint.com/2017/12/05/firms-fundamental-overview-apple-inc-nasdaqaapl-a-electronic-equipment-company/,Bullish
2017-12-05T22:05:53Z,More Call Buying $EIX $VZ $OHI $USB $PX $ROST $BABA $GG $EA $CLF $ROKU $EBAY $BBY $FB $CNO $HZNP $NGD $ETE $AAPL $SONC $TOL $MBI $GOOGL $JPM,Neutral
2017-12-05T22:05:45Z,$AMZN $GOOG $GOOGL $ROKU $AAPL Google pulls YouTube from Amazon&#39;s streaming device as battle of tech giants heats up https://www.cnbc.com/2017/12/05/google-pulls-youtube-from-amazon-firetv.html,Neutral
2017-12-05T21:57:47Z,$DJIA $SPX $COMPQ $STUDY Update &amp; Stock Recap Inc $DXY $GLD &amp; $SLV $AAPL $BA $FB $BIDU $GOOGL $FB $CAT $AMZN $TSLA https://youtu.be/vimsWC6HF9M,Neutral
2017-12-05T21:45:19Z,$RAD $TSLA $amzn $TGT $MU $AMD $WBA $XOM $AAPL $KR,Neutral
2017-12-05T21:44:17Z,IS THIS WHAT WS WANTS TO HAPPEN! $RAD $TSLA $AMZN $TGT $MU $AMD $WBA $XOM $AAPL $KR,Neutral
2017-12-05T21:43:34Z,$RAD $TSLA $AMZN $TGT $MU $AMD $WBA $XOM $AAPL $KR,Neutral
2017-12-05T21:43:13Z,"$RAD Share Price of Co&#39;s @ .05X sales: $TSLA = 4.30,  $amzn=20.02, $TGT=6.42, $MU=.92, $AMD.25, $WBA=6.84, $XOM=2.89, $AAPL=2.23, $KR=6.69",Neutral
2017-12-05T21:42:19Z,$MSFT $AAPL $QCOM $INTC So it&#39;s Mr. Softy and Qualcomm vs. Intel inside Apple?  Interesting turn of events - http://www.zdnet.com/article/microsoft-debuts-windows-10-on-arm/,Neutral
2017-12-05T21:40:58Z,Today summary in heatmap $UNH $AAPL $BA $GE $WFC $JPM $JNJ $PFE $DIS $AMGN https://www.finscreener.com/map,Neutral
2017-12-05T21:40:45Z,"Hot Options Report For End Of Day December 5th - $PSTG, $MU, $AMD, $AAPL, $BAC, $PIR  http://www.theoptionsinsider.com/hot-options-report-end-day-december-5th-pstg-mu-amd-aapl-bac-pir/",Neutral
2017-12-05T21:39:34Z,$AAPL http://www.thestreetpoint.com/2017/12/05/firms-fundamental-overview-apple-inc-nasdaqaapl-a-electronic-equipment-company-2/,Neutral
2017-12-05T21:39:31Z,$AAPL why u don&#39;t use Put selling strategy?,Neutral
2017-12-05T21:34:36Z,Tempting Tuesday – Stop Buying that Dip and GET OUT!!! $DIA $AAPL @Nasdaq -- http://www.philstockworld.com/2017/12/05/tempting-tuesday-stop-buying-that-dip-and-get-out/,Neutral
2017-12-05T21:33:46Z,$SNAP $AAPL $SPY welcome back BRC yu missed the big run from 95!!!,Neutral
2017-12-05T21:29:32Z,Cash Repatriations Biggest Beneficiaries?  https://buff.ly/2zjftWE  $AAPL $MSFT $GOOG,Neutral
2017-12-05T21:23:39Z,$AAPL Yep. That was really stupid. No brain power required.,Neutral
2017-12-05T21:22:10Z,$AAPL CLOSES LOWER FOR THE 3RD DAY IN A ROW: https://techniquant.com/reports/stock-aapl-daily-technical-report-for-2017-12-05/,Bullish
2017-12-05T21:21:55Z,$AAPL that’s like saying you shouldn’t eat oranges cause they taste like apples.,Neutral
2017-12-05T21:21:11Z,$AAPL lady on CNBC needs to STFU. did she just compare this to Nokia and blackberry???,Neutral
2017-12-05T21:19:02Z,$AAPL CNBC about to bash ,Neutral
2017-12-05T21:13:05Z,$AAPL&#39;s Return On Equity of 36.07% is amongst the best of the industry. $AAPL does better than the industry ave ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=PROFITABILITY#/AAPL?r=fa&amp;key=bb853040-a4ac-41c6-b549-d218d2f21b32,Neutral
2017-12-05T21:10:47Z,"Financial strenght, profitability, valuation, management effectiveness, dividends and others you can find for $AAPL https://www.finscreener.com/aapl-apple-inc-4775i",Neutral
2017-12-05T21:10:10Z,$AAPL About time to grab some 175 calls!,Bullish
2017-12-05T21:08:52Z,$AAPL look at the after hours chart though,Bullish
2017-12-05T21:06:02Z,$AAPL if the good old days come back... Cross our fingers 🤞🤞🏼🤞🏾,Neutral
2017-12-05T21:05:58Z,"$AAPL gave up whole day, wow",Neutral
2017-12-05T21:05:51Z,$AAPL EXP:12/8/2017|MaxPain:170.00|HighPutOI:170.00(9408)|HighCallOI:175.00(28145) http://www.opricot.com/ticker/aapl/optiongraphs,Neutral
2017-12-05T21:05:46Z,It never ends!!!  http://quad7capital.com/2017/12/05/apple-buys-another-company/  $AAPL #Neverendingstory,Neutral
2017-12-05T21:05:03Z,$SNAP $AAPL $SPY the big man is back,Neutral
2017-12-05T21:03:36Z,$AAPL If you think Irland is hard on them wait until China tears their balls off,Bearish
2017-12-05T21:03:17Z,$AAPL $NIKE - just do it.              $AAPL - just fuck it,Bearish
2017-12-05T21:01:49Z,$AAPL this market to me is setting up for a huge rally especially the technology sector,Neutral
2017-12-05T21:01:39Z,$AAPL the day was flat.. better than being down..,Neutral
2017-12-05T21:01:19Z,$BABA $BIDU $NFLX $MU $AAPL   hope you all sold into this... massive losses tomorrow,Bearish
2017-12-05T21:00:58Z,$AAPL Well that was interesting 🤢,Neutral
2017-12-05T21:00:29Z,great in for the morning runs $AMZN $AAPL,Bullish
2017-12-05T20:59:59Z,$MU $AAPL $MU just sprinkled you with Troll-Be-Gone,Neutral
2017-12-05T20:59:00Z,Buy-Write Search for Xtra Yield $AMD $AAPL $TSLA $INTC $NVDA $C $MS $DDD $R $TWX $VXX $MSFT $TWTR $SPY $QQQ $AMZN https://marketchameleon.com/volReports/optionbuywrite,Neutral
2017-12-05T20:58:38Z,$AMD Everyone wants to dance with $AMD Partner and vendor list growing exponentially. $AAPL $HPE $MSFT $QCOM Is $MU or $NVDA next? #FOMO,Bullish
2017-12-05T20:58:23Z,$BABA $AAPL  lots of put orders being put in. Be careful. They are tempting you to put the order in.,Neutral
2017-12-05T20:58:10Z,"$AAPL $AEIS $FB $PYPL What a &quot;meh&quot; day, let&#39;s see some more action this week. Good or bad.",Neutral
2017-12-05T20:57:17Z,$AAPL twelve f&amp;^% pennies...yippee,Neutral
2017-12-05T20:56:00Z,$AAPL how many more days for this PoS to go negative,Neutral
2017-12-05T20:55:13Z,$AAPL Oooh. Haven&#39;t heard any stupid CNBC AAPL FUD for a good while. This will be exciting!,Neutral
2017-12-05T20:54:30Z,"$AAPL $SPY $MU beautiful, chunky puke close",Neutral
2017-12-05T20:53:09Z,$AAPL down she does...negative,Neutral
2017-12-05T20:50:51Z,Find a Trade W/Option Trades Screener $AAPL $FRAN $BAC $CSCO $AMAT $MU $BABA $LULU $AAPL $VXX $INTC $T $FMI $TWTR https://marketchameleon.com/Screeners/OptionTrades,Neutral
2017-12-05T20:50:41Z,$AAPL $QQQ I hate it when this happens ... strong all day and pukes into the close. Buying isn&#39;t being sustained. Consolidation or top?,Neutral
2017-12-05T20:48:22Z,"$QD,$MOMO, $BSTI, $YRD, $ENDP, $XON, $VIAB, $OMF, $DB $OCLR $AAPL $AMZN $NVDA $MU $SQ $M $COST $T $XRT $XLF $XLK $QQQ $SPY",Neutral
2017-12-05T20:47:45Z,$AAPL $BABA $PYPL Amazing...like a balloon that lost the air!,Neutral
2017-12-05T20:45:16Z,"$AAPL $FB $X We need the financial records of these “journalists” who have reported fake news, and their employers like ABC NBC",Bullish
2017-12-05T20:44:11Z,$AAPL Consumer Reports Ranks iPhone X below iPhone 8 https://www.consumerreports.org/smartphones/iphone-x-review-test-results/,Neutral
2017-12-05T20:44:11Z,$AAPL $X $FB $ATVI $MU $MBRX $XON $C  ANY ATTORNEYS OUT THERE?! Can we file suit against these news orgs that report fake news during tradi,Bullish
2017-12-05T20:43:01Z,"Rotation, Rotation, Rotation: Value Is The New Tech https://benzinga.com/z/10874386 $AAPL $AMZN $NVDA $MU $SQ $M $COST $T $XRT $XLF $XLK $QQQ $SPY",Neutral
2017-12-05T20:42:56Z,$AAPL breakin our b-lls,Neutral
2017-12-05T20:42:00Z,Lot of bullishness in FAANG still. It won&#39;t end well for quite a few folks $FB $AMZN $AAPL $NFLX $GOOG,Neutral
2017-12-05T20:39:22Z,$AAPL D monitor blue zone support. Deeper correction if fails #stocks,Neutral
2017-12-05T20:38:20Z,"Tax Plan May Likely Disproportionately Benefit $JPM $BAC At Expense Of $AAPL, Tech https://buff.ly/2iQ7VDJ",Neutral
2017-12-05T20:35:28Z,$MU $AAPL acquiring $MU,Bullish
2017-12-05T20:34:14Z,$AAPL when is Luca buying?,Neutral
2017-12-05T20:33:33Z,$AAPL $268.9 billion  CASH (- peanuts) - https://www.cnbc.com/2017/11/02/how-much-cash-does-apple-have.html,Bullish
2017-12-05T20:30:18Z,$AMD $AAPL $HPE $MSFT $QCOM $MU $NVDA view a chart of 2017 for AMD. dead money,Neutral
2017-12-05T20:30:02Z,$AAPL $SPY $MU your mother teach you to talk like that?,Neutral
2017-12-05T20:29:56Z,$AMD Everyone wants to dance with $AMD  Partner and vendor list growing exponentially. $AAPL $HPE $MSFT $QCOM Is $MU or $NVDA next? #FOMO,Bullish
2017-12-05T20:29:41Z,$AAPL $FB $C $X We need to bring suit against these news orgs that come out with Fake news every week which hurts us. Enough!,Bullish
2017-12-05T20:25:37Z,$AMD it&#39;s clear that everyone wants to dance with $AMD  Partner and vendor list growing exponentially. $AAPL $HPE $MSFT $QCOM  Is $MU next?,Bullish
2017-12-05T20:24:53Z,$AAPL tech sell off begins. Selling every pop instead of buying every dip.,Neutral
2017-12-05T20:24:26Z,$AAPL $SPY $MU hope you motherfackers bought the dips.,Neutral
2017-12-05T20:23:58Z,$AAPL Wild ride today...Political turmoil in Ukraine..could potentially get worse with Russia on its turf $$$$$$$$$$$$$$$$$$$$$$$$$$$$,Neutral
2017-12-05T20:23:06Z,$AAPL only few weeks before eoy.....hope this PoS goes up,Neutral
2017-12-05T20:22:06Z,$AAPL $175 December --&gt; #Iseeit,Bullish
2017-12-05T20:20:36Z,$AAPL damnit! He’s still here,Neutral
2017-12-05T20:19:50Z,"After Two Tech Wrecks In Two Weeks, Are Any Names Cheap? https://buff.ly/2AOSHWd  $AAPL $MSFT $ATVI $LRCX $NVDA $FB $GOOGL",Neutral
2017-12-05T20:19:16Z,$AAPL #FANG #onlyCASHking $175,Bullish
2017-12-05T20:18:11Z,"$AAPL Apple has a &#39;moral obligation&#39; to push back in China, says senator who probed the company&#39;s ties https://themarketisopen.com/posts/apple-has-a-moral-obligation-to-push-back-in-china-says-senator-who-probed-the-company-s-ties",Neutral
2017-12-05T20:17:54Z,"$AAPL Here&#39;s how to use Apple Pay Cash, Apple&#39;s new Venmo competitor that just launched https://themarketisopen.com/posts/here-s-how-to-use-apple-pay-cash-apple-s-new-venmo-competitor-that-just-launched",Neutral
2017-12-05T20:17:40Z,$AAPL $AMZN $BRK.B $BABA $CAT $DIS $FB $GOOG $JNJ $MU $PYPL Selloff into the close! After a bad week you’d expect a strong close but nope.,Bullish
2017-12-05T20:15:09Z,$AAPL I hope it stays right where it is so my contracts expire worthless and I collect a sweet $10k credit,Neutral
2017-12-05T20:15:04Z,"$FB $AAPL $NVDA $MU $AMZN $ATVI $SQ $NFLX $BABA Recovered $1K of my losses today, not bad. Stay green my lovely children. BABA got no chill!",Neutral
2017-12-05T20:11:03Z,$AAPL Perfect timing - $175 December/2017,Bullish
2017-12-05T20:10:08Z,$AAPL forced to pay 13 billion to Ireland  Ireland forced to collect Apple&#39;s disputed €13bn tax bill http://www.bbc.co.uk/news/business-42237312,Bearish
2017-12-05T20:08:47Z,$AAPL December 2015! $175,Bullish
2017-12-05T20:08:38Z,$DPW this is a $20 stock hold amazon news leaked $AMZN $AAPL,Bullish
2017-12-05T20:08:10Z,$AAPL plus 50 12/15 175 calls at .61,Neutral
2017-12-05T20:08:04Z,Some Money Managers Are Swapping $GOOG For $AAPL - https://buff.ly/2AR5APE,Neutral
